Subdirectory,Tool,Total Usage
431,linux,1.303934496
431,recaptcha,0.938628315
431,ios,0.435535003
431,spss,0.411175464
431,https,0.36566403
7126,linux,0.243966345
7126,https,0.18168074
7126,ios,0.097692564
7126,matlab,0.086901311
7126,spss,0.086255445
7121,recaptcha,0.593869536
7121,https,0.225782104
7121,jasper,0.023654642
7121,root,0.017307027
7121,linux,0.009148294
8311,recaptcha,3.262879789
8311,linux,0.879183581
8311,matlab,0.428379265
8311,https,0.147667364
8311,kubernetes,0.104769133
2511,linux,56.36531957
2511,power bi,11.88033749
2511,matlab,11.57327035
2511,tensorflow,9.743227198
2511,ios,9.311199733
2512,linux,148.0148841
2512,kubernetes,43.91967442
2512,ios,32.57410078
2512,matlab,29.2931079
2512,hadoop,10.15148118
2513,linux,49.98860613
2513,kubernetes,34.57976382
2513,ios,28.17501526
2513,hadoop,3.939449241
2513,matlab,1.827618587
2514,linux,224.593576
2514,ios,183.6337892
2514,kubernetes,21.69262533
2514,matlab,8.207674079
2514,hadoop,4.287486213
2519,linux,66.67727257
2519,matlab,29.73562469
2519,ios,18.21399017
2519,kubernetes,7.183964491
2519,root,3.223118896
